year_label,year,rank,institution_name,city,state,intl_students_total
2007/08,2007,21,Stanford University,Stanford,CA,3898
2007/08,2007,22,Pennsylvania State University - University Park,University Park,PA,3860
2007/08,2007,23,University of Minnesota - Twin Cities,Minneapolis,MN,3756
2007/08,2007,24,Georgia Institute of Technology,Atlanta,GA,3616
2007/08,2007,25,University of Houston,Houston,TX,3420
2008/09,2008,1,University of Southern California,Los Angeles,CA,7482
2008/09,2008,2,New York University,New York,NY,6761
2008/09,2008,3,Columbia University,New York,NY,6685
2008/09,2008,4,University of Illinois - Urbana-Champaign,Champaign,IL,6570
2008/09,2008,5,Purdue University - West Lafayette,West Lafayette,IN,6136
2008/09,2008,6,University of Michigan - Ann Arbor,Ann Arbor,MI,5790
2008/09,2008,7,University of Texas - Austin,Austin,TX,5703
2008/09,2008,8,University of California - Los Angeles,Los Angeles,CA,5590
2008/09,2008,9,Boston University,Boston,MA,5037
2008/09,2008,10,Michigan State University,East Lansing,MI,4757
2008/09,2008,11,Harvard University,Cambridge,MA,4735
2008/09,2008,12,University of Florida,Gainesville,FL,4731
2008/09,2008,13,University of Pennsylvania,Philadelphia,PA,4635
2008/09,2008,14,Ohio State University - Columbus,Columbus,OH,4583
2008/09,2008,15,Indiana University - Bloomington,Bloomington,IN,4565
2008/09,2008,16,Texas A&M University - College Station,College Station,TX,4558
2008/09,2008,17,SUNY University at Buffalo,Buffalo,NY,4539
2008/09,2008,18,Arizona State University - Tempe,Tempe,AZ,4375
2008/09,2008,19,University of Wisconsin - Madison,Madison,WI,4243
2008/09,2008,20,University of Minnesota - Twin Cities,Minneapolis,MN,4120
2008/09,2008,21,Cornell University,Ithaca,NY,4018
2008/09,2008,22,Stanford University,Stanford,CA,3976
2008/09,2008,23,Georgia Institute of Technology,Atlanta,GA,3911
2008/09,2008,24,University of Houston,Houston,TX,3778
2008/09,2008,25,Pennsylvania State University - University Park,University Park,PA,3741
2009/10,2009,1,University of Southern California,Los Angeles,CA,7987
2009/10,2009,2,University of Illinois - Urbana-Champaign,Champaign,IL,7287
2009/10,2009,3,New York University,New York,NY,7276
2009/10,2009,4,Purdue University - West Lafayette,West Lafayette,IN,6903
2009/10,2009,5,Columbia University,New York,NY,6833
2009/10,2009,6,Houston Community College System,Houston,TX,6125
2009/10,2009,7,University of Michigan - Ann Arbor,Ann Arbor,MI,6095
2009/10,2009,8,University of California - Los Angeles,Los Angeles,CA,5685
2009/10,2009,9,Michigan State University,East Lansing,MI,5358
2009/10,2009,10,University of Texas - Austin,Austin,TX,5265
2009/10,2009,11,Boston University,Boston,MA,5172
2009/10,2009,12,University of Florida,Gainesville,FL,4920
2009/10,2009,13,SUNY University at Buffalo,Buffalo,NY,4911
2009/10,2009,14,Harvard University,Cambridge,MA,4867
2009/10,2009,15,Indiana University - Bloomington,Bloomington,IN,4819
2009/10,2009,16,Ohio State University - Columbus,Columbus,OH,4796
2009/10,2009,17,University of Minnesota - Twin Cities,Minneapolis,MN,4665
2009/10,2009,18,Texas A&M University - College Station,College Station,TX,4611
2009/10,2009,19,Pennsylvania State University - University Park,University Park,PA,4561
2009/10,2009,20,University of Pennsylvania,Philadelphia,PA,4522
2009/10,2009,21,Arizona State University - Tempe,Tempe,AZ,4483
2009/10,2009,22,University of Wisconsin - Madison,Madison,WI,4312
2009/10,2009,23,Cornell University,Ithaca,NY,4115
2009/10,2009,24,University of Houston,Houston,TX,4103
2009/10,2009,25,Georgia Institute of Technology,Atlanta,GA,4030
2010/11,2010,1,University of Southern California,Los Angeles,CA,8615
2010/11,2010,2,University of Illinois - Urbana-Champaign,Champaign,IL,7991
2010/11,2010,3,New York University,New York,NY,7988
2010/11,2010,4,Purdue University - West Lafayette,West Lafayette,IN,7562
2010/11,2010,5,Columbia University,New York,NY,7297
2010/11,2010,6,University of California - Los Angeles,Los Angeles,CA,6249
2010/11,2010,7,Ohio State University - Columbus,Columbus,OH,6082
2010/11,2010,8,University of Michigan - Ann Arbor,Ann Arbor,MI,5995
2010/11,2010,9,Michigan State University,East Lansing,MI,5748
2010/11,2010,10,Harvard University,Cambridge,MA,5594
2010/11,2010,11,Indiana University - Bloomington,Bloomington,IN,5471
2010/11,2010,12,Boston University,Boston,MA,5464
2010/11,2010,13,University of Florida,Gainesville,FL,5393
2010/11,2010,14,University of Texas - Austin,Austin,TX,5323
2010/11,2010,15,Pennsylvania State University - University Park,University Park,PA,5207
2010/11,2010,16,Northeastern University - Boston,Boston,MA,5187
2010/11,2010,17,SUNY University at Buffalo,Buffalo,NY,5185
2010/11,2010,18,University of Minnesota - Twin Cities,Minneapolis,MN,5124
2010/11,2010,19,Georgia Institute of Technology,Atlanta,GA,4943
2010/11,2010,20,Arizona State University - Tempe,Tempe,AZ,4934
2010/11,2010,21,Texas A&M University - College Station,College Station,TX,4874
2010/11,2010,22,University of Pennsylvania,Philadelphia,PA,4752
2010/11,2010,23,University of Wisconsin - Madison,Madison,WI,4647
2010/11,2010,24,University of Houston,Houston,TX,4377
2010/11,2010,25,Cornell University,Ithaca,NY,4357
2011/12,2011,1,University of Southern California,Los Angeles,CA,9269
2011/12,2011,2,University of Illinois - Urbana-Champaign,Champaign,IL,8997
2011/12,2011,3,New York University,New York,NY,8660
2011/12,2011,4,Purdue University - West Lafayette,West Lafayette,IN,8563
2011/12,2011,5,Columbia University,New York,NY,8024
2011/12,2011,6,University of California - Los Angeles,Los Angeles,CA,6703
2011/12,2011,7,Northeastern University - Boston,Boston,MA,6486
2011/12,2011,8,University of Michigan - Ann Arbor,Ann Arbor,MI,6382
2011/12,2011,9,Michigan State University,East Lansing,MI,6209
2011/12,2011,10,Ohio State University - Columbus,Columbus,OH,6142
2011/12,2011,11,Indiana University - Bloomington,Bloomington,IN,6123
2011/12,2011,12,Pennsylvania State University - University Park,University Park,PA,6075
2011/12,2011,13,Boston University,Boston,MA,6041
2011/12,2011,14,University of Minnesota - Twin Cities,Minneapolis,MN,5661
2011/12,2011,15,Arizona State University - Tempe,Tempe,AZ,5616
2011/12,2011,16,University of Florida,Gainesville,FL,5588
2011/12,2011,17,Harvard University,Cambridge,MA,5453
2011/12,2011,18,University of Washington,Seattle,WA,5372
2011/12,2011,19,SUNY University at Buffalo,Buffalo,NY,5357
2011/12,2011,20,University of Texas - Austin,Austin,TX,5324
2011/12,2011,21,University of Pennsylvania,Philadelphia,PA,5296
2011/12,2011,22,Texas A&M University - College Station,College Station,TX,5013
2011/12,2011,23,University of California - Berkeley,Berkeley,CA,5004
2011/12,2011,24,Georgia Institute of Technology,Atlanta,GA,4973
2011/12,2011,25,University of Houston,Houston,TX,4879
2012/13,2012,1,University of Southern California,Los Angeles,CA,9840
2012/13,2012,2,University of Illinois - Urbana-Champaign,Champaign,IL,9804
2012/13,2012,3,Purdue University - West Lafayette,West Lafayette,IN,9509
2012/13,2012,4,New York University,New York,NY,9362
2012/13,2012,5,Columbia University,New York,NY,8797
2012/13,2012,6,University of California - Los Angeles,Los Angeles,CA,8424
2012/13,2012,7,Northeastern University - Boston,Boston,MA,7705
2012/13,2012,8,University of Michigan - Ann Arbor,Ann Arbor,MI,6827
2012/13,2012,9,Michigan State University,East Lansing,MI,6759
2012/13,2012,10,Pennsylvania State University - University Park,University Park,PA,6693
2012/13,2012,11,Arizona State University - Tempe,Tempe,AZ,6645
2012/13,2012,12,Boston University,Boston,MA,6615
2012/13,2012,13,Indiana University - Bloomington,Bloomington,IN,6547
2012/13,2012,14,University of Washington,Seattle,WA,6491
2012/13,2012,15,Ohio State University - Columbus,Columbus,OH,6478
2012/13,2012,16,University of Minnesota - Twin Cities,Minneapolis,MN,6178
2012/13,2012,17,University of Florida,Gainesville,FL,5961
2012/13,2012,18,SUNY University at Buffalo,Buffalo,NY,5804
2012/13,2012,19,University of Pennsylvania,Philadelphia,PA,5751
2012/13,2012,20,University of California - Berkeley,Berkeley,CA,5632
2012/13,2012,21,University of Texas - Austin,Austin,TX,5481
2012/13,2012,22,Houston Community College System,Houston,TX,5333
2012/13,2012,23,University of Wisconsin - Madison,Madison,WI,5291
2012/13,2012,24,University of Texas - Dallas,Richardson,TX,5193
2012/13,2012,25,Texas A&M University - College Station,College Station,TX,5149
2013/14,2013,1,New York University,New York,NY,11164
2013/14,2013,2,University of Southern California,Los Angeles,CA,10932
2013/14,2013,3,University of Illinois - Urbana-Champaign,Champaign,IL,10843
2013/14,2013,4,Columbia University,New York,NY,10486
2013/14,2013,5,Purdue University - West Lafayette,West Lafayette,IN,9988
2013/14,2013,6,University of California - Los Angeles,Los Angeles,CA,9579
2013/14,2013,7,Northeastern University - Boston,Boston,MA,9078
2013/14,2013,8,Arizona State University - Tempe,Tempe,AZ,8683
2013/14,2013,9,Michigan State University,East Lansing,MI,7704
2013/14,2013,10,University of Washington,Seattle,WA,7469
2013/14,2013,11,University of Michigan - Ann Arbor,Ann Arbor,MI,7273
2013/14,2013,12,Boston University,Boston,MA,7143
2013/14,2013,13,Pennsylvania State University - University Park,University Park,PA,7024
2013/14,2013,14,Ohio State University - Columbus,Columbus,OH,6800
2013/14,2013,15,Indiana University - Bloomington,Bloomington,IN,6661
2013/14,2013,16,University of Minnesota - Twin Cities,Minneapolis,MN,6621
2013/14,2013,17,SUNY University at Buffalo,Buffalo,NY,6594
2013/14,2013,18,University of California - Berkeley,Berkeley,CA,6372
2013/14,2013,19,University of Texas - Dallas,Richardson,TX,6296
2013/14,2013,20,University of Florida,Gainesville,FL,6135
2013/14,2013,21,University of Pennsylvania,Philadelphia,PA,6024
2013/14,2013,22,University of Wisconsin - Madison,Madison,WI,5718
2013/14,2013,23,University of Texas - Austin,Austin,TX,5663
2013/14,2013,24,Texas A&M University - College Station,College Station,TX,5582
2013/14,2013,25,Carnegie Mellon University,Pittsburgh,PA,5501
2014/15,2014,1,New York University,New York,NY,13178
2014/15,2014,2,University of Southern California,Los Angeles,CA,12334
2014/15,2014,3,Columbia University,New York,NY,11510
2014/15,2014,4,Arizona State University - Tempe,Tempe,AZ,11330
2014/15,2014,5,University of Illinois - Urbana-Champaign,Champaign,IL,11223
2014/15,2014,6,Northeastern University - Boston,Boston,MA,10559
2014/15,2014,7,Purdue University - West Lafayette,West Lafayette,IN,10230
2014/15,2014,8,University of California - Los Angeles,Los Angeles,CA,10209
2014/15,2014,9,Michigan State University,East Lansing,MI,8146
2014/15,2014,10,University of Washington,Seattle,WA,8035
2014/15,2014,11,Boston University,Boston,MA,7860
2014/15,2014,12,Pennsylvania State University - University Park,University Park,PA,7728
2014/15,2014,13,University of Michigan - Ann Arbor,Ann Arbor,MI,7423
2014/15,2014,14,Ohio State University - Columbus,Columbus,OH,7121
2014/15,2014,15,University of Texas - Dallas,Richardson,TX,7064
2014/15,2014,16,Indiana University - Bloomington,Bloomington,IN,7009
2014/15,2014,17,University of Minnesota - Twin Cities,Minneapolis,MN,6984
2014/15,2014,18,University of California - Berkeley,Berkeley,CA,6874
2014/15,2014,19,SUNY University at Buffalo,Buffalo,NY,6852
2014/15,2014,20,Texas A&M University - College Station,College Station,TX,6690
2014/15,2014,21,Carnegie Mellon University,Pittsburgh,PA,6198
2014/15,2014,22,University of Pennsylvania,Philadelphia,PA,6167
2014/15,2014,23,University of Florida,Gainesville,FL,6148
2014/15,2014,24,University of Wisconsin - Madison,Madison,WI,5977
2014/15,2014,25,University of Texas - Austin,Austin,TX,5947
2015/16,2015,1,New York University,New York,NY,15543
2015/16,2015,2,University of Southern California,Los Angeles,CA,13340
2015/16,2015,3,Arizona State University - Tempe,Tempe,AZ,12751
2015/16,2015,4,Columbia University,New York,NY,12740
2015/16,2015,5,University of Illinois - Urbana-Champaign,Champaign,IL,12085
2015/16,2015,6,Northeastern University - Boston,Boston,MA,11702
2015/16,2015,7,University of California - Los Angeles,Los Angeles,CA,11513
2015/16,2015,8,Purdue University - West Lafayette,West Lafayette,IN,10563
